Model,Scenario,Region,Variable,Unit,Year,Value
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Coal,EJ/yr,2040,1.131483299
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2040,63.75898673
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Gas,EJ/yr,2040,16.64287525
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Gas,EJ/yr,2040,13.2546218
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Gas,EJ/yr,2040,4.791369115
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Gas,EJ/yr,2040,4.94729473
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Gas,EJ/yr,2040,24.12282584
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Geothermal,EJ/yr,2040,0.08578755347
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Geothermal,EJ/yr,2040,0.03271206276
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Geothermal,EJ/yr,2040,0.001188083032
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Geothermal,EJ/yr,2040,0.009864439754
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Geothermal,EJ/yr,2040,0.0002998088971
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Geothermal,EJ/yr,2040,0.04172315903
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Hydro,EJ/yr,2040,18.65684907
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Hydro,EJ/yr,2040,8.141867813
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Hydro,EJ/yr,2040,1.011487799
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Hydro,EJ/yr,2040,3.255874163
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Hydro,EJ/yr,2040,0.9736896343
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Hydro,EJ/yr,2040,5.273929659
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Nuclear,EJ/yr,2040,8.931411292
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Nuclear,EJ/yr,2040,2.045562864
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Nuclear,EJ/yr,2040,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Nuclear,EJ/yr,2040,0.03043497477
