Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.7,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,64.2706,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,41.6142,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,72.9944,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,36.4838,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,8.3781,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.0008,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,16.5075,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,31.5755,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,3.3826,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.0019,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,134.127,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,28.9163,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,19.0393,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,5.9145,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,0.3106,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,28.1297,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,27.2809,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,27.9691,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,9.6283,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,3.1342,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,0.0004,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,7.0755,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,10.6605,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,1.5286,Transportation,Electricity
